genres,id
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",19404.0
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",278.0
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",238.0
"[{'id': 10749, 'name': 'Romance'}]",724089.0
"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",424.0
"[{'id': 10749, 'name': 'Romance'}]",696374.0
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",240.0
"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",761053.0
"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",372058.0
"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",283566.0
"[{'id': 18, 'name': 'Drama'}]",255709.0
"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",129.0
"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",496243.0
"[{'id': 18, 'name': 'Drama'}]",389.0
"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",632632.0
"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",497.0
"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",155.0
"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",680.0
"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",122.0
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",13.0
"[{'id': 37, 'name': 'Western'}]",429.0
"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",441130.0
"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",40096.0
"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",11216.0
"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",346.0
"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",637.0
"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",769.0
